athlete,date,location,type,distance_mi,duration_h,moving_h,alt_median_ft,alt_gain_ft,temp_avg_f,avg_hr,max_hr,hr_p995,avg_w,np_w,kj,vi,ef,device_ftp,p5s,p1m,p5m,p10m,p20m,p60m,vo2_est,hr_at_120w,n_120,hr_at_150w,n_150,decoupling_pct,hrr60,hrr_from,hrr_n,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
JA,2026-06-14,Memphis,Road,42.0,3.19,0.0,291.0,940.0,79.0,137.0,157.0,152.0,,,,,,,,,,,,,,,0,,0,,,,0,,,55.0,45.0,0.0,0.0,0,2026-06-14 Memphis Road 42mi.fit
JA,2026-06-16,Memphis,Road,32.0,2.2,0.0,308.0,720.0,79.0,136.0,178.0,176.0,,,,,,,,,,,,,,,0,,0,,,,0,,,70.0,27.0,0.0,3.0,0,2026-06-16 Memphis Road 32mi.fit
JA,2026-06-17,Memphis,Road,56.0,4.11,0.0,312.0,1198.0,84.0,132.0,170.0,161.0,,,,,,,,,,,,,,,0,,0,,,,0,,,83.0,16.0,1.0,0.0,0,2026-06-17 Memphis Road 56mi.fit
JA,2026-06-23,Memphis,Road,30.0,2.03,0.0,312.0,767.0,79.0,158.0,179.0,177.0,,,,,,,,,,,,,,,0,,0,,,,0,,,8.0,31.0,21.0,40.0,0,2026-06-23 Memphis Road 30mi.fit
JA,2026-06-24,Memphis,Road,30.0,2.2,1.84,316.0,717.0,79.0,137.0,154.0,151.0,126.0,138.0,959.0,1.1,1.009,237.0,607.0,206.0,165.0,143.0,134.0,128.0,26.6,137.0,1599,139.0,1554,3.1,,,0,75.0,9.0,64.0,36.0,0.0,0.0,1,2026-06-24 Memphis Road 30mi.fit
JA,2026-06-25,Memphis,Road,30.0,2.17,1.83,308.0,695.0,84.0,131.0,148.0,147.0,119.0,129.0,923.0,1.08,0.982,237.0,566.0,200.0,149.0,134.0,127.0,124.0,24.7,131.0,1627,136.0,1344,11.8,,,0,75.0,11.0,89.0,11.0,0.0,0.0,1,2026-06-25 Memphis Road 30mi.fit
JA,2026-06-26,Memphis,Road,26.0,1.8,1.5,286.0,631.0,84.0,150.0,182.0,180.0,145.0,198.0,934.0,1.37,1.323,237.0,680.0,344.0,212.0,176.0,170.0,154.0,32.3,142.0,412,142.0,617,3.0,30.0,173.0,3,74.0,20.0,24.0,38.0,29.0,10.0,1,2026-06-26 Memphis Road 26mi.fit
JA,2026-06-28,Memphis,Road,43.0,3.18,2.62,291.0,998.0,90.0,135.0,173.0,167.0,121.0,144.0,1345.0,1.19,1.065,237.0,668.0,318.0,224.0,167.0,136.0,127.0,33.7,134.0,2199,138.0,2236,2.0,,,0,75.0,12.0,72.0,26.0,1.0,1.0,1,2026-06-28 Memphis Road 43mi.fit
JA,2026-06-30,Memphis,Road,30.0,2.18,1.87,310.0,699.0,88.0,140.0,171.0,166.0,117.0,138.0,918.0,1.18,0.987,237.0,615.0,309.0,177.0,140.0,127.0,123.0,28.1,139.0,1605,142.0,1397,0.1,,,0,81.0,46.0,39.0,59.0,2.0,1.0,1,2026-06-30 Memphis Road 30mi.fit
JA,2026-07-09,Bear Lake,MTB,18.0,1.77,1.32,5963.0,3806.0,90.0,146.0,180.0,178.0,112.0,159.0,709.0,1.42,1.09,237.0,376.0,293.0,218.0,204.0,158.0,132.0,33.0,140.0,1077,143.0,862,10.7,34.0,173.0,4,78.0,26.0,27.0,51.0,9.0,13.0,1,2026-07-09 Bear Lake MTB 18mi.fit
JA,2026-07-13,Park City P2P Recon,MTB,47.0,9.57,4.89,7369.0,9059.0,88.0,156.0,179.0,177.0,112.0,165.0,2976.0,1.47,1.058,237.0,691.0,296.0,223.0,205.0,165.0,146.0,33.6,161.0,1334,163.0,2578,-13.6,42.0,174.0,21,71.0,16.0,11.0,36.0,24.0,29.0,1,2026-07-13 Park City P2P Recon MTB 47mi.fit
JA,2026-07-16,Memphis,Road,30.0,2.18,1.92,309.0,765.0,86.0,134.0,149.0,145.0,116.0,123.0,906.0,1.06,0.92,237.0,354.0,177.0,135.0,128.0,124.0,119.0,23.1,134.0,2235,137.0,1071,2.0,,,0,80.0,34.0,85.0,15.0,0.0,0.0,1,2026-07-16 Memphis Road 30mi.fit
JA,2026-07-17,Memphis,Road,30.0,2.24,1.95,308.0,699.0,88.0,137.0,162.0,159.0,107.0,129.0,854.0,1.21,0.944,237.0,522.0,312.0,170.0,138.0,121.0,109.0,27.2,138.0,2137,140.0,510,6.7,,,0,85.0,73.0,68.0,31.0,1.0,0.0,1,2026-07-17 Memphis Road 30mi.fit
JA,2026-07-20,Memphis Peloton,?,11.0,0.56,0.53,,,82.0,147.0,176.0,175.0,138.0,167.0,277.0,1.21,1.132,237.0,416.0,334.0,187.0,161.0,155.0,,29.3,138.0,147,151.0,1031,-2.2,26.0,157.0,1,88.0,89.0,19.0,69.0,7.0,5.0,1,2026-07-20 Memphis Peloton 11mi.fit
JA,2026-07-21,Memphis,Road,30.0,2.28,1.97,310.0,732.0,86.0,141.0,182.0,180.0,100.0,128.0,814.0,1.28,0.908,237.0,555.0,246.0,189.0,182.0,142.0,105.0,29.6,141.0,1470,143.0,173,12.5,,,0,83.0,58.0,42.0,51.0,2.0,5.0,1,2026-07-21 Memphis Road 30mi.fit
JA,2026-07-22,Memphis,Road,21.0,1.53,1.38,327.0,604.0,82.0,135.0,144.0,143.0,118.0,128.0,646.0,1.08,0.95,237.0,374.0,188.0,149.0,141.0,135.0,120.0,24.8,135.0,1622,137.0,621,21.1,,,0,79.0,30.0,84.0,16.0,0.0,0.0,1,2026-07-22 Memphis Road 21mi.fit
JA,2026-07-24,Park City,MTB,22.0,3.44,2.55,8436.0,6606.0,81.0,163.0,182.0,179.0,131.0,170.0,1558.0,1.3,1.043,237.0,655.0,273.0,203.0,187.0,178.0,161.0,31.2,162.0,738,163.0,1820,-0.6,32.0,161.0,6,71.0,12.0,1.0,20.0,45.0,34.0,1,2026-07-24 Park City MTB 22mi.fit
JA,2026-07-28,Memphis,Road,30.0,2.16,1.79,311.0,756.0,90.0,152.0,184.0,182.0,120.0,168.0,917.0,1.4,1.103,237.0,657.0,364.0,233.0,175.0,155.0,126.0,34.8,149.0,1033,154.0,469,-4.1,,,0,79.0,33.0,15.0,50.0,12.0,24.0,1,2026-07-28 Memphis Road 30mi.fit
JA,2026-07-29,Memphis,Road,21.0,1.44,1.26,327.0,587.0,82.0,143.0,164.0,162.0,131.0,141.0,674.0,1.08,0.987,237.0,375.0,218.0,165.0,147.0,141.0,129.0,26.6,142.0,914,145.0,1126,4.2,,,0,81.0,48.0,19.0,77.0,4.0,0.0,1,2026-07-29 Memphis Road 21mi.fit
JA,2026-07-30,Memphis Peloton FTP,?,,0.75,0.75,,,77.0,144.0,194.0,194.0,154.0,205.0,416.0,1.33,1.424,237.0,308.0,294.0,253.0,252.0,250.0,,37.2,,0,,0,19.4,21.0,193.0,1,80.0,44.0,45.0,10.0,4.0,40.0,1,2026-07-30 Memphis Peloton FTP Test.fit
JA,2026-07-31,Memphis,Road,27.0,1.91,1.72,306.0,646.0,81.0,132.0,142.0,141.0,124.0,132.0,851.0,1.06,0.998,237.0,382.0,174.0,141.0,139.0,136.0,128.0,23.8,133.0,1603,136.0,1563,0.8,,,0,81.0,42.0,94.0,6.0,0.0,0.0,1,2026-07-31 Memphis Road 27mi.fit
JA,2026-08-01,Memphis,Road,42.0,3.03,2.66,292.0,933.0,79.0,129.0,143.0,140.0,118.0,126.0,1272.0,1.07,0.976,237.0,337.0,173.0,141.0,133.0,126.0,119.0,23.8,129.0,2563,133.0,1928,-1.2,,,0,81.0,51.0,97.0,3.0,0.0,0.0,1,2026-08-01 Memphis Road 42mi.fit
JA,2026-08-02,Memphis,Road,23.0,1.57,1.45,291.0,592.0,73.0,133.0,145.0,143.0,136.0,142.0,763.0,1.04,1.064,237.0,474.0,193.0,157.0,148.0,142.0,137.0,25.8,133.0,1228,136.0,1647,2.0,,,0,84.0,62.0,89.0,11.0,0.0,0.0,1,2026-08-02 Memphis Road 23mi.fit
JA,2026-08-03,Park City P2P Recon,MTB,40.0,8.03,4.79,8466.0,9178.0,72.0,154.0,179.0,176.0,114.0,171.0,2943.0,1.5,1.109,237.0,694.0,337.0,220.0,201.0,194.0,164.0,33.2,158.0,1353,160.0,2298,-12.8,33.0,159.0,24,71.0,19.0,13.0,36.0,31.0,20.0,1,2026-08-03 Park City P2P Recon MTB 40mi.fit
JA,2026-08-09,Park City,MTB,20.0,3.52,2.3,7964.0,5972.0,77.0,157.0,175.0,174.0,130.0,171.0,1454.0,1.32,1.092,237.0,660.0,272.0,207.0,196.0,186.0,174.0,31.7,158.0,559,159.0,1295,3.0,35.0,173.0,11,72.0,16.0,7.0,33.0,46.0,15.0,1,2026-08-09 Park City MTB 20mi.fit
JA,2026-08-12,Memphis,Road,30.0,2.2,1.82,313.0,738.0,95.0,141.0,183.0,180.0,118.0,138.0,896.0,1.17,0.977,237.0,514.0,267.0,184.0,181.0,151.0,116.0,29.0,137.0,1783,142.0,1086,2.3,,,0,82.0,53.0,50.0,38.0,1.0,11.0,1,2026-08-12 Memphis Road 30mi.fit
JA,2026-08-13,Memphis,Road,30.0,2.03,1.74,306.0,706.0,93.0,160.0,185.0,184.0,145.0,176.0,1044.0,1.21,1.099,237.0,586.0,301.0,241.0,232.0,185.0,158.0,35.7,155.0,982,158.0,943,-8.5,,,0,83.0,56.0,7.0,34.0,19.0,40.0,1,2026-08-13 Memphis Road 30mi.fit
JA,2026-08-15,Memphis,Road,35.0,2.44,2.13,297.0,756.0,97.0,135.0,169.0,162.0,129.0,157.0,1111.0,1.22,1.163,237.0,726.0,368.0,198.0,160.0,143.0,133.0,30.7,134.0,1705,137.0,2204,0.8,,,0,88.0,81.0,81.0,18.0,0.0,0.0,1,2026-08-15 Memphis Road 35mi.fit
JA,2026-08-18,Memphis,Road,30.0,2.14,1.77,310.0,701.0,88.0,143.0,175.0,172.0,128.0,155.0,963.0,1.21,1.082,237.0,512.0,295.0,229.0,175.0,152.0,136.0,34.3,141.0,1154,144.0,1603,9.1,38.0,168.0,1,85.0,71.0,34.0,56.0,8.0,3.0,1,2026-08-18 Memphis Road 30mi.fit
RR,2026-03-18,Park City,Road,39.0,2.72,0.0,6617.0,5153.0,,130.0,158.0,156.0,,,,,,,,,,,,,,,0,,0,,,,0,,,25.0,55.0,16.0,4.0,0,2026-03-18 Park City Road 39mi.fit
RR,2026-03-21,Park City,MTB,16.0,2.45,0.0,6855.0,4577.0,,128.0,156.0,154.0,,,,,,,,,,,,,,,0,,0,,,,0,,,26.0,66.0,7.0,1.0,0,2026-03-21 Park City MTB 16mi.fit
RR,2026-04-08,Park City,MTB,10.0,1.93,0.0,6286.0,4120.0,,133.0,174.0,165.0,,,,,,,,,,,,,,,0,,0,,,,0,,,23.0,44.0,25.0,7.0,0,2026-04-08 Park City MTB 10mi.fit
RR,2026-05-04,Sanibel Ride,?,36.0,2.17,0.0,5.0,275.0,,143.0,165.0,161.0,,,,,,,,,,,,,,,0,,0,,,,0,,,3.0,50.0,40.0,7.0,0,2026-05-04 Sanibel Ride 36mi.fit
RR,2026-05-06,Sanibel,Road,61.0,4.58,0.0,6.0,326.0,,133.0,151.0,148.0,,,,,,,,,,,,,,,0,,0,,,,0,,,7.0,91.0,2.0,0.0,0,2026-05-06 Sanibel Road 61mi.fit
RR,2026-05-08,Sanibel,Road,10.0,0.64,0.0,4.0,52.0,,126.0,141.0,141.0,,,,,,,,,,,,,,,0,,0,,,,0,,,20.0,80.0,0.0,0.0,0,2026-05-08 Sanibel Road 10mi.fit
RR,2026-05-08,Sanibel,Road,31.0,1.7,0.0,3.0,225.0,,135.0,149.0,148.0,,,,,,,,,,,,,,,0,,0,,,,0,,,5.0,92.0,3.0,0.0,0,2026-05-08 Sanibel Road 31mi.fit
RR,2026-05-10,Park City,MTB,15.0,2.11,0.0,7558.0,5136.0,,135.0,156.0,155.0,,,,,,,,,,,,,,,0,,0,,,,0,,,20.0,49.0,25.0,7.0,0,2026-05-10 Park City MTB 15mi.fit
RR,2026-05-11,Park City,MTB,11.0,1.76,0.0,7676.0,4967.0,,140.0,166.0,163.0,,,,,,,,,,,,,,,0,,0,,,,0,,,11.0,41.0,38.0,11.0,0,2026-05-11 Park City MTB 11mi.fit
RR,2026-05-14,Park City,Road,52.0,3.5,0.0,6693.0,6134.0,,128.0,179.0,174.0,,,,,,,,,,,,,,,0,,0,,,,0,,,23.0,64.0,3.0,9.0,0,2026-05-14 Park City Road 52mi.fit
RR,2026-05-16,Park City,MTB,22.0,4.08,0.0,8474.0,6494.0,,127.0,169.0,163.0,,,,,,,,,,,,,,,0,,0,,,,0,,,28.0,62.0,7.0,3.0,0,2026-05-16 Park City MTB 22mi.fit
RR,2026-05-23,Park City,MTB,23.0,3.59,0.0,7868.0,5778.0,,133.0,168.0,165.0,,,,,,,,,,,,,,,0,,0,,,,0,,,19.0,58.0,19.0,4.0,0,2026-05-23 Park City MTB 23mi.fit
RR,2026-05-24,Park City Ride,?,42.0,4.16,0.0,6486.0,4653.0,,127.0,155.0,150.0,,,,,,,,,,,,,,,0,,0,,,,0,,,24.0,72.0,3.0,0.0,0,2026-05-24 Park City Ride 42mi.fit
RR,2026-05-28,Park City,MTB,13.0,2.11,0.0,7169.0,4689.0,,123.0,168.0,150.0,,,,,,,,,,,,,,,0,,0,,,,0,,,33.0,60.0,6.0,0.0,0,2026-05-28 Park City MTB 13mi.fit
RR,2026-05-30,Leadville Recon (Robert),?,34.0,7.48,0.0,11008.0,9649.0,,126.0,146.0,144.0,,,,,,,,,,,,,,,0,,0,,,,0,,,25.0,75.0,0.0,0.0,0,2026-05-30 Leadville Recon (Robert) 34mi.fit
RR,2026-07-13,Park City P2P Recon (Robert),?,50.0,9.62,0.0,7368.0,9722.0,,127.0,151.0,148.0,,,,,,,,,,,,,,,0,,0,,,,0,,,34.0,61.0,5.0,0.0,0,2026-07-13 Park City P2P Recon (Robert) 50mi.fit
RR,2026-07-15,Park City MTB (Robert),?,26.0,4.61,0.0,8534.0,6799.0,,121.0,151.0,145.0,,,,,,,,,,,,,,,0,,0,,,,0,,,38.0,62.0,0.0,0.0,0,2026-07-15 Park City MTB (Robert) 26mi.fit
RR,2026-07-19,Park City,MTB,20.0,2.57,2.08,6966.0,5329.0,,126.0,175.0,156.0,133.0,185.0,1228.0,1.39,1.466,260.0,682.0,329.0,239.0,222.0,183.0,155.0,34.2,128.0,560,132.0,759,-7.0,,,0,73.0,19.0,28.0,70.0,2.0,1.0,1,2026-07-19 Park City MTB 20mi.fit
RR,2026-07-20,Park City,MTB,23.0,3.45,2.64,8202.0,6627.0,,122.0,142.0,141.0,135.0,181.0,1603.0,1.34,1.481,211.0,603.0,299.0,235.0,214.0,205.0,181.0,33.7,132.0,624,134.0,1423,-3.9,,,0,68.0,9.0,34.0,66.0,0.0,0.0,1,2026-07-20 Park City MTB 23mi.fit
RR,2026-07-22,Park City,MTB,17.0,2.09,1.71,6832.0,4779.0,,119.0,146.0,145.0,137.0,178.0,1032.0,1.3,1.492,221.0,604.0,304.0,217.0,198.0,168.0,151.0,31.7,121.0,524,123.0,777,-3.4,,,0,76.0,27.0,36.0,64.0,0.0,0.0,1,2026-07-22 Park City MTB 17mi.fit
RR,2026-07-23,Park City Trainer FTP,?,,0.33,0.33,,,86.0,151.0,157.0,156.0,243.0,243.0,292.0,1.0,1.61,190.0,339.0,289.0,262.0,248.0,243.0,,36.8,,0,,0,-7.9,,,0,90.0,100.0,1.0,6.0,51.0,42.0,1,2026-07-23 Park City Trainer FTP Test.fit
RR,2026-07-25,Sun Valley,MTB,28.0,5.06,2.96,8582.0,7302.0,,122.0,185.0,173.0,94.0,172.0,1705.0,1.83,1.41,263.0,739.0,336.0,235.0,227.0,209.0,166.0,33.7,126.0,825,129.0,1048,-12.5,18.0,150.0,1,66.0,12.0,41.0,55.0,3.0,1.0,1,2026-07-25 Sun Valley MTB 28mi.fit
RR,2026-07-26,Park City Trainer Recovery,?,,0.6,0.0,,,81.0,115.0,132.0,132.0,,,,,,,,,,,,,,,0,,0,,,,0,,,57.0,43.0,0.0,0.0,0,2026-07-26 Park City Trainer Recovery Spin.fit
RR,2026-07-31,Park City,MTB,18.0,2.92,1.97,7725.0,5611.0,,124.0,155.0,152.0,113.0,163.0,1133.0,1.44,1.313,230.0,518.0,270.0,217.0,208.0,203.0,166.0,31.7,132.0,733,137.0,1002,-6.6,15.0,150.0,3,70.0,8.0,33.0,57.0,10.0,0.0,1,2026-07-31 Park City MTB 18mi.fit
RR,2026-08-02,Park City,Road,21.0,1.3,0.0,6721.0,4104.0,,134.0,196.0,186.0,,,,,,,,,,,,,,,0,,0,,,,0,,,17.0,63.0,9.0,11.0,0,2026-08-02 Park City Road 21mi.fit
RR,2026-08-03,Park City P2P Recon,MTB,39.0,7.79,5.07,8660.0,9390.0,,122.0,149.0,146.0,111.0,175.0,3018.0,1.58,1.433,230.0,717.0,325.0,223.0,212.0,204.0,173.0,32.4,129.0,1175,133.0,2409,-15.7,,,0,70.0,17.0,37.0,63.0,1.0,0.0,1,2026-08-03 Park City P2P Recon MTB 39mi.fit
RR,2026-08-05,Park City,MTB,15.0,2.35,1.88,7458.0,5157.0,,112.0,133.0,130.0,111.0,148.0,941.0,1.33,1.32,230.0,610.0,259.0,188.0,172.0,156.0,151.0,28.4,119.0,811,119.0,1228,1.2,,,0,71.0,13.0,60.0,40.0,0.0,0.0,1,2026-08-05 Park City MTB 15mi.fit
RR,2026-08-07,Park City,MTB,15.0,1.45,1.34,6769.0,4287.0,,115.0,132.0,132.0,126.0,143.0,657.0,1.13,1.24,230.0,428.0,195.0,173.0,155.0,142.0,129.0,26.7,116.0,629,120.0,1213,0.4,,,0,77.0,14.0,58.0,42.0,0.0,0.0,1,2026-08-07 Park City MTB 15mi.fit
RR,2026-08-08,Park City Trainer Steady,?,,1.0,1.0,,,91.0,136.0,155.0,154.0,182.0,189.0,657.0,1.04,1.393,230.0,286.0,253.0,228.0,221.0,215.0,182.0,33.0,,0,134.0,1363,-22.1,,,0,80.0,34.0,4.0,77.0,18.0,1.0,1,2026-08-08 Park City Trainer Steady Hour.fit
RR,2026-08-09,Park City,MTB,19.0,3.3,0.0,8006.0,5972.0,,126.0,144.0,142.0,,,,,,,,,,,,,,,0,,0,,,,0,,,22.0,78.0,0.0,0.0,0,2026-08-09 Park City MTB 19mi.fit
RR,2026-08-13,Park City,MTB,30.0,2.83,2.3,7487.0,6763.0,,134.0,183.0,176.0,144.0,182.0,1470.0,1.26,1.357,230.0,632.0,277.0,225.0,212.0,208.0,176.0,32.6,138.0,346,138.0,797,-8.9,32.0,157.0,3,77.0,15.0,18.0,60.0,10.0,13.0,1,2026-08-13 Park City MTB 30mi.fit
RR,2026-08-18,Park City,MTB,20.0,1.48,1.38,6544.0,3912.0,,121.0,143.0,142.0,167.0,189.0,893.0,1.13,1.559,230.0,457.0,296.0,231.0,216.0,198.0,184.0,33.3,108.0,252,118.0,523,11.6,,,0,80.0,33.0,36.0,64.0,0.0,0.0,1,2026-08-18 Park City MTB 20mi.fit
RR,2026-08-19,Park City,MTB,12.0,1.12,1.01,7018.0,3941.0,,111.0,128.0,127.0,120.0,140.0,484.0,1.17,1.26,230.0,411.0,222.0,171.0,157.0,142.0,121.0,26.4,112.0,544,118.0,689,0.9,,,0,81.0,33.0,77.0,23.0,0.0,0.0,1,2026-08-19 Park City MTB 12mi.fit
