date,garmin_ride_count,garmin_total_distance_m,garmin_total_timer_time_s,garmin_avg_speed_mps,garmin_max_speed_mps,garmin_avg_power_w,garmin_max_power_w,garmin_avg_heart_rate_bpm,garmin_max_heart_rate_bpm,garmin_total_ascent_m,garmin_total_descent_m,garmin_total_tss,garmin_total_work_j,garmin_threshold_power_w,garmin_intensity_factor_mean,garmin_total_training_effect,garmin_total_anaerobic_training_effect,active_energy_burned_sum,activity_summary_active_energy_burned,activity_summary_active_energy_burned_goal,activity_summary_apple_exercise_time,activity_summary_apple_exercise_time_goal,activity_summary_apple_stand_hours,activity_summary_apple_stand_hours_goal,apple_workout_count,apple_workout_duration_seconds,apple_workout_total_distance,apple_workout_total_energy_burned,basal_energy_burned_sum,body_fat_percentage_latest,body_mass_latest,distance_walking_running_sum,exercise_time_sum,flights_climbed_sum,heart_rate_avg,heart_rate_count,heart_rate_max,heart_rate_min,heart_rate_sum,hrv_sdnn_avg,hrv_sdnn_count,hrv_sdnn_max,hrv_sdnn_min,hrv_sdnn_sum,oxygen_saturation_avg,oxygen_saturation_count,oxygen_saturation_max,oxygen_saturation_min,oxygen_saturation_sum,respiratory_rate_avg,respiratory_rate_count,respiratory_rate_max,respiratory_rate_min,respiratory_rate_sum,resting_heart_rate_avg,resting_heart_rate_count,resting_heart_rate_max,resting_heart_rate_min,resting_heart_rate_sum,sleep_asleep_core_seconds,sleep_asleep_deep_seconds,sleep_asleep_rem_seconds,sleep_asleep_seconds,sleep_awake_seconds,sleep_in_bed_seconds,step_count_sum,vo2_max_avg,vo2_max_count,vo2_max_max,vo2_max_min,vo2_max_sum,walking_heart_rate_average_avg,walking_heart_rate_average_count,walking_heart_rate_average_max,walking_heart_rate_average_min,walking_heart_rate_average_sum,garmin_total_timer_hours,sleep_asleep_hours,sleep_in_bed_hours,garmin_total_tss_prev_day,garmin_total_tss_7d,garmin_total_timer_hours_prev_day,garmin_total_timer_hours_7d,sleep_asleep_hours_7d_avg,sleep_asleep_hours_vs_7d,hrv_sdnn_avg_7d_avg,hrv_sdnn_avg_vs_7d,resting_heart_rate_avg_7d_avg,resting_heart_rate_avg_vs_7d
2025-07-11,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,986.0889999999998,691.207,1160.0,25.0,45.0,17.0,12.0,0,0.0,0.0,0.0,2141.503999999997,,,6.268383111999999,25.0,9.0,73.89135955786737,769.0,142.0,51.0,56822.45550000001,53.921780851063815,47.0,111.314,28.4879,2534.3236999999995,,,,,,11.80241935483871,31.0,14.5,10.0,365.875,61.0,2.0,67.0,55.0,122.0,22380.0,150.0,7740.0,30270.0,1500.0,53940.0,20600.0,,,,,,84.0,1.0,84.0,84.0,84.0,0.0,8.408333333333333,14.983333333333333,0.0,213.1,0.0,4.223461944444445,6.7369047619047615,1.6714285714285717,49.71077392733612,4.211006923727695,70.14285714285714,-9.142857142857139
2025-07-12,1.0,16417.89,6012.798,2.73,10.982,81.0,794.0,128.0,178.0,275.0,270.0,78.8,488157.0,237.0,0.688,3.3,1.2,3975.929000000049,1634.23,1160.0,203.0,45.0,11.0,12.0,3,21294.0,0.0,0.0,3930.2459999999896,0.189199,197.644,18.103903893,293.0,71.0,127.26887134192567,3957.0,176.0,55.0,503602.92389999994,53.94503,30.0,131.009,15.3395,1618.3509,,,,,,12.906976744186046,43.0,15.5,11.0,555.0,75.66666666666667,3.0,87.0,67.0,227.0,16620.0,3390.0,6570.0,26580.0,540.0,0.0,42976.0,33.77,1.0,33.77,33.77,33.77,117.0,1.0,117.0,117.0,117.0,1.6702216666666665,7.383333333333334,0.0,0.0,116.4,0.0,2.4644174999999997,6.995238095238095,0.3880952380952385,50.5761726955332,3.3688573044668004,69.71428571428571,5.952380952380963
2025-07-13,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,278.3210000000001,278.321,1160.0,7.0,45.0,6.0,12.0,0,0.0,0.0,0.0,1968.0989999999993,,,4.920825120000001,7.0,13.0,79.38421554054052,148.0,126.0,59.0,11748.863899999998,49.28575454545455,11.0,82.0209,25.3325,542.1433000000001,,,,,,13.45,10.0,18.0,11.0,134.5,68.0,1.0,68.0,68.0,68.0,3570.0,2730.0,1740.0,8040.0,3000.0,0.0,11391.0,,,,,,91.0,1.0,91.0,91.0,91.0,0.0,2.2333333333333334,0.0,78.8,116.4,1.6702216666666665,2.4644174999999997,8.005952380952381,-5.772619047619048,55.81201793362845,-6.526263388173895,66.52380952380953,1.4761904761904674
2025-07-14,1.0,11610.73,3653.868,3.178,8.78,131.0,767.0,154.0,169.0,265.0,264.0,56.9,477034.0,237.0,0.752,3.4,0.0,3258.484999999991,1142.07,1160.0,75.0,45.0,15.0,12.0,2,7307.0,0.0,0.0,2661.3779999999992,,,12.171943818999996,125.0,63.0,128.5889725259828,2213.0,169.0,53.0,284567.39619999996,56.71656750000001,40.0,129.075,23.0229,2268.6627000000003,,,,,,11.45138888888889,36.0,15.0,9.5,412.25,82.0,3.0,121.0,62.0,246.0,29730.0,3150.0,7680.0,40560.0,3900.0,52860.0,38213.0,,,,,,100.5,1.0,100.5,100.5,100.5,1.0149633333333332,11.266666666666667,14.683333333333334,0.0,135.70000000000002,0.0,2.6851849999999997,7.185714285714285,4.080952380952382,54.982513821074335,1.734053678925676,66.23809523809524,15.76190476190476
2025-07-15,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,4221.347,2154.9,1160.0,192.0,45.0,16.0,12.0,3,20298.0,0.0,0.0,3568.317999999976,,,23.180727745999988,192.0,24.0,97.01654562071592,1313.0,182.708,55.0,127382.72440000002,50.27951162790699,43.0,154.857,16.9542,2162.0190000000007,,,,,,12.880102040816327,49.0,19.0,10.5,631.125,66.0,1.0,66.0,66.0,66.0,35160.0,5100.0,7620.0,47880.0,9840.0,52680.0,67519.0,34.9,1.0,34.9,34.9,34.9,,,,,,0.0,13.3,14.633333333333333,56.9,135.70000000000002,1.0149633333333332,2.6851849999999997,7.980952380952381,5.31904761904762,54.054051195023916,-3.774539567116925,65.52380952380953,0.4761904761904674
2025-07-16,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,18.765999999999995,18.766,1160.0,2.0,45.0,0.0,12.0,0,0.0,0.0,0.0,1835.760999999999,,,4.320064670000001,2.0,19.0,67.07453756097561,205.0,79.0,55.0,13750.2802,46.016567499999994,40.0,76.0976,17.566,1840.6626999999996,,,,,,13.071428571428571,63.0,18.0,10.0,823.5,63.5,2.0,69.0,58.0,127.0,23820.0,1590.0,10470.0,35880.0,720.0,0.0,9370.0,,,,,,,,,,,0.0,9.966666666666667,0.0,0.0,135.70000000000002,0.0,2.6851849999999997,9.25,0.7166666666666668,53.39441732501795,-7.377849825017954,67.0952380952381,-3.595238095238102
2025-07-17,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,3736.933000000002,1431.15,1160.0,91.0,45.0,12.0,12.0,3,8432.0,0.0,0.0,3909.3610000000094,,,11.568413002999996,151.0,31.0,138.06911195130948,2711.0,172.0,44.0,374305.3625,58.19895483870966,31.0,109.127,12.6386,1804.1675999999995,,,,,,16.214285714285715,7.0,21.5,13.0,113.5,78.33333333333333,3.0,100.0,60.0,235.0,990.0,,,990.0,240.0,9840.0,26601.0,34.88,1.0,34.88,34.88,34.88,103.0,1.0,103.0,103.0,103.0,0.0,0.275,2.7333333333333334,0.0,135.70000000000002,0.0,2.6851849999999997,9.37142857142857,-9.09642857142857,50.820523566514545,7.378431272195115,68.0952380952381,10.238095238095227
2025-07-18,1.0,25843.18,3612.874,7.153,14.351,216.0,703.0,162.0,179.0,198.0,195.0,93.0,754468.0,237.0,0.983,4.3,1.6,4629.336000000003,2884.03,1160.0,288.0,45.0,14.0,12.0,4,15012.0,0.0,0.0,2314.2509999999993,,196.0,28.295716147999993,288.0,288.0,100.47218866608544,1147.0,165.272,52.0,115241.6004,68.7376564102564,39.0,114.317,31.6843,2680.7686,,,,,,12.086538461538462,52.0,15.5,9.5,628.5,58.0,2.0,62.0,54.0,116.0,20250.0,1920.0,8100.0,30270.0,60.0,0.0,55984.0,32.7,2.0,32.74,32.66,65.4,,,,,,1.003576111111111,8.408333333333333,0.0,0.0,228.70000000000002,0.0,3.688761111111111,7.547619047619048,0.8607142857142849,52.623452409019286,16.11420400123712,70.64285714285714,-12.642857142857139
2025-07-19,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,1174.6390000000024,832.237,1160.0,88.0,45.0,11.0,12.0,2,5937.0,0.0,0.0,2283.769,,,15.334402649999996,88.0,35.0,85.3024554477612,1340.0,117.0,55.0,114305.29030000002,67.36738333333332,12.0,131.24,41.0387,808.4085999999999,,,,,,,,,,,59.0,1.0,59.0,59.0,59.0,,,,0.0,0.0,0.0,35428.0,32.875,2.0,32.94,32.81,65.75,88.0,1.0,88.0,88.0,88.0,0.0,0.0,0.0,93.0,149.9,1.003576111111111,2.0185394444444444,7.547619047619047,-7.547619047619047,54.74000606033252,12.627377273000803,70.21428571428571,-11.214285714285708
2025-07-20,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,636.3130000000004,565.123,1160.0,37.0,45.0,11.0,12.0,0,0.0,0.0,0.0,4162.906999999999,,,6.787892620000001,37.0,31.0,69.44488962848298,646.0,146.0,46.0,44861.398700000005,66.0535296875,64.0,196.049,20.204,4227.4259,,,,,,13.55,60.0,21.0,10.0,813.0,69.0,3.0,97.0,52.0,207.0,21600.0,4200.0,5640.0,31440.0,13680.0,0.0,15581.0,,,,,,78.0,1.0,78.0,78.0,78.0,0.0,8.733333333333333,0.0,0.0,149.9,0.0,2.0185394444444444,6.492857142857143,2.2404761904761896,56.657485107951565,9.396044579548438,67.83333333333333,1.1666666666666714
2025-07-21,1.0,36729.68,16513.661,2.224,12.428,54.0,815.0,139.0,178.0,473.0,1438.0,231.2,834991.0,237.0,0.731,3.8,3.0,5950.630999999957,1608.95,1160.0,276.0,45.0,14.0,12.0,3,34172.0,0.0,0.0,3437.658999999997,0.186671,198.967,11.534588944,477.0,175.0,130.17848986208568,8266.0,178.0,45.0,1076055.3972000002,58.284814583333336,48.0,129.297,20.8982,2797.6711,,,,,,10.808333333333334,45.0,15.0,8.5,486.375,72.33333333333333,3.0,97.0,56.0,217.0,37260.0,2040.0,10740.0,50040.0,6360.0,68400.0,35036.0,,,,,,115.0,1.0,115.0,115.0,115.0,4.587128055555556,13.9,19.0,0.0,324.2,0.0,5.590704166666667,7.421428571428571,6.4785714285714295,59.052881556815194,-0.7680669734818579,67.97619047619047,4.357142857142861
2025-07-22,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,761.1310000000022,499.274,1160.0,11.0,45.0,12.0,12.0,0,0.0,0.0,0.0,1736.6170000000002,,,3.548025631,10.0,5.0,62.77503470319635,657.0,127.0,49.0,41243.1978,58.3488325,40.0,161.351,25.1129,2333.9533,,,,,,13.030555555555557,45.0,17.5,11.0,586.375,74.0,3.0,111.0,50.0,222.0,37560.0,10470.0,14370.0,62400.0,6900.0,47640.0,12564.0,,,,,,99.5,1.0,99.5,99.5,99.5,0.0,17.333333333333332,13.233333333333333,231.2,324.2,4.587128055555556,5.590704166666667,7.797619047619047,9.535714285714285,59.27691685443425,-0.9280843544342474,66.59523809523809,7.404761904761912
2025-07-23,1.0,79134.89,11952.724,6.621,11.887,,,151.0,177.0,312.0,316.0,0.0,0.0,,,4.7,0.6,8935.71200000003,2799.21,1160.0,222.0,45.0,16.0,12.0,2,24926.0,0.0,0.0,3634.6489999999953,,,11.465631955,426.0,18.0,144.65616671365638,5675.0,177.0,46.0,820923.7461,29.882183684210524,38.0,80.575,7.12045,1135.52298,,,,,,16.06451612903226,31.0,22.5,8.0,498.0,57.5,2.0,60.0,55.0,115.0,32190.0,3660.0,3840.0,39690.0,8820.0,75060.0,30740.0,,,,,,69.0,1.0,69.0,69.0,69.0,3.320201111111111,11.025,20.85,0.0,324.2,0.0,8.910905277777777,8.373809523809523,2.651190476190477,60.42967697901896,-30.547493294808433,67.73809523809523,-10.238095238095227
