date,location,type,distance_mi,duration_h,alt_median_ft,alt_gain_ft,temp_avg_f,temp_max_f,avg_hr,max_hr,avg_w,np_w,if_,tss,vi,ef,hr_at_120w,n_120,hr_at_150w,n_150,adj_hr120,decoupling_pct,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
2025-08-22,Park City,MTB,24.0,3.86,7983.0,6037.0,70.0,86.0,155.0,175.0,,,,,,,,0,,0,,,,,11.0,34.0,31.0,23.0,0,2025-08-22 Park City MTB 24mi.fit
2025-08-25,Memphis,Road,29.0,2.1,290.0,793.0,81.0,88.0,119.0,133.0,,,,,,,,0,,0,,,,,100.0,0.0,0.0,0.0,0,2025-08-25 Memphis Road 29mi.fit
2025-08-27,Memphis,Road,23.0,1.5,292.0,683.0,82.0,86.0,135.0,153.0,,,,,,,,0,,0,,,,,71.0,29.0,0.0,0.0,0,2025-08-27 Memphis Road 23mi.fit
2025-08-30,Park City,MTB,76.0,12.1,8018.0,13200.0,70.0,97.0,155.0,176.0,111.0,169.0,0.711,611.3,1.52,1.093,156.0,2393,158.0,4078,136.0,-13.8,67.0,11.0,7.0,45.0,34.0,15.0,1,2025-08-30 Park City MTB 76mi.fit
2025-09-03,Park City,MTB,9.0,1.36,6616.0,4301.0,91.0,97.0,153.0,180.0,126.0,199.0,0.839,95.3,1.58,1.305,154.0,62,159.0,163,138.0,-1.2,72.0,22.0,19.0,34.0,25.0,21.0,1,2025-09-03 Park City MTB 9mi.fit
2025-09-07,Park City,MTB,15.0,4.65,7825.0,5703.0,75.0,88.0,147.0,180.0,116.0,192.0,0.809,191.2,1.66,1.302,166.0,245,170.0,470,146.0,4.5,69.0,11.0,37.0,19.0,7.0,36.0,1,2025-09-07 Park City MTB 15mi.fit
2025-09-08,Park City,MTB,18.0,2.77,6807.0,5097.0,84.0,109.0,147.0,174.0,128.0,204.0,0.862,179.0,1.59,1.392,148.0,190,150.0,350,131.0,-0.4,74.0,32.0,34.0,38.0,14.0,15.0,1,2025-09-08 Park City MTB 18mi.fit
2025-09-08,Park City,MTB,4.0,0.82,6480.0,3252.0,81.0,82.0,111.0,131.0,52.0,105.0,0.444,15.9,2.02,0.944,121.0,127,,0,105.0,-12.9,55.0,1.0,100.0,0.0,0.0,0.0,1,2025-09-08 Park City MTB 4mi.fit
2025-09-12,Park City,MTB,5.0,0.57,6754.0,3561.0,63.0,64.0,162.0,179.0,132.0,218.0,0.92,47.1,1.65,1.35,,0,168.0,61,,-19.0,74.0,32.0,4.0,23.0,34.0,39.0,1,2025-09-12 Park City MTB 5mi.fit
2025-09-12,Park City,MTB,6.0,0.57,6793.0,3533.0,70.0,77.0,160.0,181.0,147.0,211.0,0.892,44.4,1.44,1.317,167.0,60,165.0,119,150.0,-19.8,75.0,37.0,10.0,23.0,23.0,44.0,1,2025-09-12 Park City MTB 6mi.fit
2025-09-16,Park City,MTB,2.0,0.64,6769.0,3255.0,68.0,73.0,,,25.0,94.0,0.395,9.8,3.76,,,0,,0,,,51.0,2.0,,,,,1,2025-09-16 Park City MTB 2mi.fit
2025-09-17,Park City,MTB,12.0,1.64,7669.0,4960.0,63.0,73.0,153.0,177.0,142.0,201.0,0.85,116.2,1.42,1.314,159.0,178,158.0,450,139.0,-0.4,71.0,18.0,14.0,31.0,45.0,10.0,1,2025-09-17 Park City MTB 12mi.fit
2025-09-18,Park City,MTB,14.0,1.81,7939.0,5401.0,75.0,90.0,162.0,182.0,161.0,214.0,0.903,140.2,1.33,1.323,169.0,99,170.0,318,149.0,-4.6,77.0,34.0,4.0,31.0,10.0,55.0,1,2025-09-18 Park City MTB 14mi.fit
2025-10-13,Park City,MTB,6.0,1.13,7548.0,4414.0,66.0,73.0,158.0,183.0,141.0,214.0,0.902,84.5,1.52,1.351,163.0,86,166.0,135,144.0,-1.8,70.0,14.0,5.0,37.0,23.0,35.0,1,2025-10-13 Park City MTB 6mi.fit
2025-11-03,Park City,MTB,12.0,1.63,7608.0,4947.0,48.0,59.0,168.0,186.0,150.0,195.0,0.822,106.3,1.3,1.16,173.0,205,174.0,555,154.0,5.2,70.0,13.0,4.0,13.0,14.0,69.0,1,2025-11-03 Park City MTB 12mi.fit
2025-11-13,Park City,MTB,5.0,0.69,6767.0,3552.0,72.0,88.0,163.0,184.0,135.0,208.0,0.879,51.4,1.54,1.279,167.0,67,164.0,83,150.0,-20.9,72.0,20.0,6.0,24.0,20.0,49.0,1,2025-11-13 Park City MTB 5mi.fit
2025-11-15,Park City,MTB,10.0,1.77,7158.0,4549.0,64.0,72.0,167.0,186.0,,,,,,,,0,,0,,,,,2.0,22.0,14.0,62.0,0,2025-11-15 Park City MTB 10mi.fit
2025-11-24,Park City,MTB,1.0,0.17,6529.0,3130.0,59.0,63.0,155.0,174.0,75.0,173.0,0.731,8.7,2.31,1.115,,0,,0,,,68.0,11.0,0.0,56.0,20.0,24.0,1,2025-11-24 Park City MTB 1mi.fit
2025-11-24,Park City,MTB,6.0,1.14,7051.0,3993.0,57.0,64.0,159.0,183.0,119.0,198.0,0.834,76.2,1.66,1.243,166.0,143,164.0,318,148.0,2.8,58.0,5.0,7.0,27.0,31.0,35.0,1,2025-11-24 Park City MTB 6mi.fit
2026-02-03,Park City,MTB,22.0,3.1,6454.0,4898.0,45.0,68.0,154.0,172.0,164.0,196.0,0.829,145.1,1.2,1.271,156.0,281,157.0,857,139.0,-5.2,77.0,17.0,9.0,40.0,32.0,18.0,1,2026-02-03 Park City MTB 22mi.fit
2026-02-05,Park City,MTB,14.0,1.57,6776.0,4913.0,55.0,79.0,157.0,179.0,169.0,223.0,0.94,127.0,1.32,1.42,158.0,97,160.0,315,141.0,-3.7,71.0,7.0,10.0,30.0,33.0,27.0,1,2026-02-05 Park City MTB 14mi.fit
2026-02-10,Park City,MTB,12.0,1.35,6851.0,5028.0,36.0,66.0,159.0,181.0,185.0,224.0,0.943,118.2,1.21,1.407,157.0,199,156.0,282,140.0,2.8,68.0,5.0,5.0,35.0,25.0,36.0,1,2026-02-10 Park City MTB 12mi.fit
2026-03-23,Park City,MTB,15.0,1.59,6800.0,4218.0,72.0,73.0,,,148.0,205.0,0.865,118.3,1.39,,,0,,0,,,65.0,12.0,,,,,1,2026-03-23 Park City MTB 15mi.fit
2026-03-23,Park City,MTB,3.0,0.76,6746.0,3325.0,75.0,77.0,,,26.0,80.0,0.337,8.6,3.08,,,0,,0,,,50.0,0.0,,,,,1,2026-03-23 Park City MTB 3mi.fit
2026-03-24,Park City,MTB,23.0,2.7,6807.0,5067.0,84.0,91.0,156.0,178.0,,,,,,,,0,,0,,,,,3.0,45.0,42.0,10.0,0,2026-03-24 Park City MTB 23mi.fit
2026-03-26,Park City,MTB,15.0,2.21,6764.0,4410.0,70.0,75.0,146.0,175.0,120.0,186.0,0.783,121.4,1.55,1.273,154.0,229,158.0,372,138.0,11.3,65.0,14.0,32.0,31.0,29.0,8.0,1,2026-03-26 Park City MTB 15mi.fit
2026-03-26,Park City,MTB,2.0,0.55,6655.0,3172.0,55.0,61.0,137.0,158.0,145.0,202.0,0.852,9.1,1.39,1.469,,0,,0,,-2.3,72.0,11.0,48.0,43.0,9.0,0.0,1,2026-03-26 Park City MTB 2mi.fit
2026-03-26,Park City,MTB,6.0,0.82,6815.0,3748.0,52.0,55.0,152.0,175.0,158.0,193.0,0.816,44.4,1.22,1.269,152.0,115,153.0,176,135.0,-6.6,62.0,10.0,9.0,54.0,27.0,10.0,1,2026-03-26 Park City MTB 6mi.fit
2026-03-28,Park City,MTB,10.0,1.08,6800.0,4509.0,66.0,77.0,156.0,177.0,171.0,223.0,0.942,91.8,1.3,1.428,156.0,111,157.0,248,139.0,5.6,79.0,38.0,10.0,31.0,31.0,29.0,1,2026-03-28 Park City MTB 10mi.fit
2026-03-28,Park City,MTB,2.0,0.64,6611.0,3294.0,82.0,84.0,,,71.0,141.0,0.593,13.9,1.99,,,0,,0,,,61.0,10.0,,,,,1,2026-03-28 Park City MTB 2mi.fit
2026-03-28,Park City,MTB,9.0,1.18,6782.0,3919.0,86.0,97.0,158.0,176.0,143.0,189.0,0.798,68.2,1.32,1.195,161.0,151,166.0,340,144.0,-15.3,79.0,46.0,8.0,26.0,28.0,38.0,1,2026-03-28 Park City MTB 9mi.fit
2026-03-30,Park City,MTB,27.0,3.05,6941.0,5819.0,70.0,81.0,148.0,178.0,141.0,176.0,0.744,160.1,1.25,1.189,143.0,748,143.0,2023,125.0,8.6,75.0,18.0,24.0,46.0,19.0,10.0,1,2026-03-30 Park City MTB 27mi.fit
2026-04-08,Memphis,Road,21.0,1.41,288.0,571.0,75.0,79.0,146.0,168.0,,,,,,,,0,,0,,,,,16.0,79.0,4.0,1.0,0,2026-04-08 Memphis Road 21mi.fit
2026-04-09,Memphis,Road,14.0,0.92,311.0,477.0,77.0,79.0,145.0,159.0,,,,,,,,0,,0,,,,,15.0,83.0,1.0,0.0,0,2026-04-09 Memphis Road 14mi.fit
2026-04-10,Memphis,Road,35.0,2.37,297.0,757.0,79.0,82.0,148.0,169.0,,,,,,,,0,,0,,,,,12.0,75.0,13.0,1.0,0,2026-04-10 Memphis Road 35mi.fit
2026-04-11,Memphis,Road,16.0,1.18,280.0,453.0,82.0,86.0,135.0,165.0,,,,,,,,0,,0,,,,,74.0,24.0,2.0,0.0,0,2026-04-11 Memphis Road 16mi.fit
2026-04-12,Memphis,Road,56.0,3.93,366.0,2270.0,81.0,88.0,153.0,184.0,,,,,,,,0,,0,,,,,7.0,51.0,35.0,8.0,0,2026-04-12 Memphis Road 56mi.fit
